Time,Data
0.248 sec,40.5232818604707
0.249 sec,39.9480299459981
0.25 sec,40.0320049805633
0.251 sec,38.8568890203497
0.252 sec,35.4370986600326
0.253 sec,32.5995763634002
0.254 sec,32.9739873226253
0.255 sec,33.8487777096129
0.256 sec,36.422932747471
0.257 sec,38.5192425015204
0.258 sec,38.0558321857238
0.259 sec,38.5202155746919
0.26 sec,40.6370951414012
0.261 sec,41.4361622800831
0.262 sec,40.7141798588304
0.263 sec,42.0930329919514
0.264 sec,40.8655579408335
0.265 sec,37.1000003626573
0.266 sec,37.4550953749082
0.267 sec,33.669349851007
0.268 sec,41.1138391860145
0.269 sec,42.4158641675975
0.27 sec,41.0283219463262
0.271 sec,38.8053702157979
0.272 sec,37.2382872466494
0.273 sec,36.9541512650672
0.274 sec,34.4192250827274
0.275 sec,31.8035220767967
0.276 sec,32.4067504608396
0.277 sec,35.9077001333856
0.278 sec,39.9926363946829
0.279 sec,39.7364026280249
0.28 sec,38.2456759126593
0.281 sec,39.9155737798059
0.282 sec,42.6667409636494
0.283 sec,44.2861031801411
0.284 sec,40.6986714807364
0.285 sec,38.782375250891
0.286 sec,40.2113701790045
0.287 sec,35.0375668863537
0.288 sec,35.2825653923021
0.289 sec,30.1644044094646
0.29 sec,26.1078047182388
0.291 sec,41.1386009144141
0.292 sec,40.4290805222727
0.293 sec,37.3688920125736
0.294 sec,37.6000145589624
0.295 sec,34.132701944489
0.296 sec,32.8950644101805
0.297 sec,32.1298150186533
0.298 sec,34.375784440632
0.299 sec,38.9352886514318
0.3 sec,42.0649041859925
0.301 sec,40.7949138450195
0.302 sec,40.9196823803718
0.303 sec,39.9093671102914
0.304 sec,41.118281777884
0.305 sec,40.4858681295104
0.306 sec,38.6042836599981
0.307 sec,36.8428859384901
0.308 sec,36.352544552586
0.309 sec,33.238223400674
0.31 sec,43.216288716642
0.311 sec,41.579292252357
0.312 sec,39.3565240996742
0.313 sec,40.1228777016882
0.314 sec,36.2333389626575
0.315 sec,34.8789567951008
0.316 sec,34.2092904687384
0.317 sec,31.4815281694972
0.318 sec,34.4692819052978
0.319 sec,37.0651783439166
0.32 sec,39.1669053987963
0.321 sec,41.8105366710392
0.322 sec,38.7354407238654
0.323 sec,41.0120900662899
0.324 sec,42.1768261983635
0.325 sec,42.1128319789315
0.326 sec,40.915561307732
0.327 sec,39.3796412537835
0.328 sec,36.9249096795124
0.329 sec,34.6050332283121
0.33 sec,31.7468338411319
0.331 sec,42.7778896511472
0.332 sec,42.5277278121179
0.333 sec,40.6688433593568
0.334 sec,40.3320775896444
0.335 sec,36.4508987762648
0.336 sec,35.0146120257096
0.337 sec,33.3744128866564
0.338 sec,31.4645816277615
0.339 sec,35.3899414009097
0.34 sec,36.0599055508391
0.341 sec,36.7662069747997
0.342 sec,39.5470955028722
0.343 sec,43.3769348186386
0.344 sec,41.429915839321
0.345 sec,42.182397159384
0.346 sec,40.48394938716
0.347 sec,39.9464807602935
0.348 sec,37.6007251587148
0.349 sec,37.6970060820622
0.35 sec,36.3028988115404
0.351 sec,33.5788450026842
0.352 sec,27.8556164821681
0.353 sec,38.5279367840829
0.354 sec,39.7357327868572
0.355 sec,40.4150720791878
0.356 sec,35.9473605006916
0.357 sec,34.4096732310518
0.358 sec,31.7986286488736
0.359 sec,31.203880137901
0.36 sec,35.7600529751535
0.361 sec,36.5116525143653
0.362 sec,38.788157267708
0.363 sec,38.2667822621811
0.364 sec,40.0473045491957
0.365 sec,42.4456709052317
0.366 sec,41.4540996202697
0.367 sec,42.4753898748834
0.368 sec,39.8443891920054
0.369 sec,38.6379951443536
0.37 sec,37.2325645703937
0.371 sec,34.0444591478027
0.372 sec,32.182564968908
0.373 sec,41.9716326972491
0.374 sec,40.9143728911511
0.375 sec,39.8794491026447
0.376 sec,38.8194121647478
0.377 sec,38.3632357852557
0.378 sec,34.4554799606357
0.379 sec,33.6185243650832
0.38 sec,33.0097051228914
0.381 sec,37.4036260432915
0.382 sec,38.4391523739683
0.383 sec,37.1766061541066
0.384 sec,41.4964309110027
0.385 sec,39.5984357979257
0.386 sec,41.8806996301575
0.387 sec,41.7177671752493
0.388 sec,41.4170607271892
0.389 sec,40.9559991349284
0.39 sec,39.2713523661367
0.391 sec,38.8619060544363
0.392 sec,32.9473733513674
0.393 sec,41.4446201672831
0.394 sec,41.6369706658146
0.395 sec,41.13292404146
0.396 sec,39.8244738992104
0.397 sec,39.5141370997742
0.398 sec,36.5862831346234
0.399 sec,36.2671575106447
0.4 sec,32.0720097614215
0.401 sec,32.452417903919
0.402 sec,35.7094038335606
0.403 sec,38.823221379947
0.404 sec,39.6174285802911
0.405 sec,41.6144976328651
0.406 sec,39.5745356961843
0.407 sec,42.3263703160186
0.408 sec,43.6172177818416
0.409 sec,40.7018459788231
0.41 sec,38.8070617527264
0.411 sec,39.3845700820333
0.412 sec,37.5375643511324
0.413 sec,33.6448166839079
0.414 sec,32.2562794862644
0.415 sec,27.593055364958
0.416 sec,41.6519033271898
0.417 sec,39.3844311175494
0.418 sec,37.7964222370312
0.419 sec,35.8669376813809
0.42 sec,33.2163349665451
0.421 sec,32.8782114669737
0.422 sec,31.8969501039372
0.423 sec,36.2907453205778
0.424 sec,36.7272057110964
0.425 sec,38.2996033407966
0.426 sec,39.6234492787758
0.427 sec,42.7557904184219
0.428 sec,42.4627144698336
0.429 sec,41.4360196247412
0.43 sec,40.03719619791
0.431 sec,41.4092098148041
0.432 sec,39.5181533903758
0.433 sec,36.886934615822
0.434 sec,33.5955206289318
0.435 sec,40.1866740960575
0.436 sec,40.4598971773487
0.437 sec,39.2162461396854
0.438 sec,39.1033220442749
0.439 sec,36.8953305223323
0.44 sec,36.8691962558233
0.441 sec,33.3952465958958
0.442 sec,32.1829886250342
0.443 sec,35.3995017541976
0.444 sec,36.3941341246385
0.445 sec,38.8432485281524
0.446 sec,38.6891188310491
0.447 sec,41.8975226679459
0.448 sec,41.7677518452385
0.449 sec,41.4845695362863
0.45 sec,42.1546652036617
0.451 sec,39.9208477433385
0.452 sec,39.6307299662109
0.453 sec,39.8181193790241
0.454 sec,37.601797154535
0.455 sec,33.4495730591765
0.456 sec,41.7749820253598
0.457 sec,41.5840265472203
0.458 sec,41.1321263955074
0.459 sec,39.2537402956922
0.46 sec,38.0835162889571
0.461 sec,36.789140265061
0.462 sec,33.462882797811
0.463 sec,31.1559106052259
0.464 sec,33.2704659895213
0.465 sec,38.0553830550654
0.466 sec,37.0377735148342
0.467 sec,38.1945506195026
0.468 sec,39.7692028089236
0.469 sec,41.3597883471243
0.47 sec,40.1732832446752
0.471 sec,42.4378081367429
0.472 sec,41.1024758088743
0.473 sec,38.5040435476523
0.474 sec,38.7661932252438
0.475 sec,36.0023097129209
0.476 sec,33.1401522294379
0.477 sec,31.8807329618977
0.478 sec,26.6010942778653
0.479 sec,41.7655789050157
0.48 sec,41.0458374155031
0.481 sec,36.6941952259083
0.482 sec,36.2887403013292
0.483 sec,34.1392388099943
0.484 sec,32.7537995897618
0.485 sec,34.2443742979687
0.486 sec,36.1469438991099
0.487 sec,37.408530300371
0.488 sec,40.4690036563563
0.489 sec,41.6599321908086
0.49 sec,41.5556338335415
0.491 sec,43.6165682326784
0.492 sec,41.5847834792936
0.493 sec,41.7105775313407
0.494 sec,41.0223658397681
0.495 sec,37.7496533153667
0.496 sec,36.1798838581462
0.497 sec,34.6356354454356
0.498 sec,43.3190700301633
0.499 sec,41.1480006260079
0.5 sec,40.1297645981315
0.501 sec,37.5872158477709
0.502 sec,37.7087653066666
0.503 sec,36.2441271944627
0.504 sec,33.4282797730049
0.505 sec,33.1127896522432
0.506 sec,35.373249028981
0.507 sec,35.4593229456118
0.508 sec,36.7844478793836
0.509 sec,40.6503289464108
0.51 sec,38.5900286509458
0.511 sec,39.9503847925975
0.512 sec,39.4526354237846
0.513 sec,39.8738296592699
0.514 sec,40.0981587098855
0.515 sec,39.2798908367977
0.516 sec,36.5222374837297
0.517 sec,35.1715572467721
0.518 sec,33.9359169871148
0.519 sec,41.9520414927406
0.52 sec,41.494352265691
0.521 sec,39.1594379338407
0.522 sec,39.9843782692041
0.523 sec,38.503535948481
0.524 sec,35.3488346312381
0.525 sec,32.6570177914026
0.526 sec,33.085987884248
0.527 sec,31.8867872349642
0.528 sec,35.8853176906223
0.529 sec,37.9374022914939
0.53 sec,41.2099335381303
0.531 sec,40.8860066753205
0.532 sec,41.7977157437583
0.533 sec,41.4436604228371
0.534 sec,39.4169487899511
0.535 sec,42.081997753448
0.536 sec,39.5691595017192
0.537 sec,38.3665564099892
0.538 sec,34.4880918383313
0.539 sec,33.1522964315413
0.54 sec,27.8332436604161
0.541 sec,39.817381217593
0.542 sec,40.6444851697002
0.543 sec,38.5721710664924
0.544 sec,37.9313535404055
0.545 sec,35.9395708738252
0.546 sec,33.8791753386447
0.547 sec,34.1657183283409
0.548 sec,36.2145946358888
0.549 sec,37.3867039394587
0.55 sec,40.0853375017096
0.551 sec,42.7570102292711
0.552 sec,41.3228601724442
0.553 sec,41.3547766626757
0.554 sec,42.5457805263967
0.555 sec,40.5429091446334
0.556 sec,40.465294563665
0.557 sec,39.1173163042294
0.558 sec,37.3807702540042
0.559 sec,36.0737647372744
0.56 sec,30.894180961705
0.561 sec,39.7470232987479
0.562 sec,41.4384527874626
0.563 sec,39.4850036403644
0.564 sec,37.1561520387166
0.565 sec,37.8369177283447
0.566 sec,36.3446625411837
0.567 sec,30.3002309860159
0.568 sec,32.7692521769882
0.569 sec,35.1614142220015
0.57 sec,37.8651432920876
0.571 sec,39.5854438932293
0.572 sec,41.1707330243292
0.573 sec,40.6169096886985
0.574 sec,40.4860380968467
0.575 sec,42.265259848008
0.576 sec,41.1034817839613
0.577 sec,39.9040185011814
0.578 sec,40.5195237762168
0.579 sec,38.4482317048794
0.58 sec,35.3184551642424
0.581 sec,42.464535463296
0.582 sec,41.7613106163919
0.583 sec,42.9729082916721
0.584 sec,38.6370945281154
0.585 sec,38.3180203087227
0.586 sec,36.7960918410079
0.587 sec,32.6881881852567
0.588 sec,32.9774337290861
0.589 sec,33.0728177471356
0.59 sec,36.4592579160963
0.591 sec,36.6188094662692
0.592 sec,38.1635830308444
0.593 sec,39.3847325562146
0.594 sec,42.5869602538329
0.595 sec,42.5480095742885
0.596 sec,41.1317955273899
0.597 sec,40.2078077629099
0.598 sec,38.3357983633672
0.599 sec,39.2007742748257
0.6 sec,37.8461418960353
0.601 sec,32.494741905947
0.602 sec,32.2226765766728
0.603 sec,28.9721520705055
0.604 sec,42.0372818163058
0.605 sec,40.3430783646998
0.606 sec,37.9641260217139
0.607 sec,37.0730784548871
0.608 sec,33.5384084913584
0.609 sec,32.8824622845033
0.61 sec,35.0282892525485
0.611 sec,36.2306823497007
0.612 sec,35.7589542862868
0.613 sec,39.7063492693059
0.614 sec,41.58668339969
0.615 sec,40.7443608491308
0.616 sec,41.7944736279895
0.617 sec,42.5434127244086
0.618 sec,41.6131308163363
0.619 sec,42.6755623309259
0.62 sec,37.2201248692193
0.621 sec,37.8669962664003
0.622 sec,33.861216595371
0.623 sec,42.188170718499
0.624 sec,41.6649264396665
0.625 sec,41.0318532210003
0.626 sec,39.510467000699
0.627 sec,36.3948833009199
0.628 sec,35.9050968517461
0.629 sec,33.3036884102548
0.63 sec,32.9383885338628
0.631 sec,33.0974576743632
0.632 sec,37.3806959356701
0.633 sec,39.4696799579512
0.634 sec,40.7049736716555
0.635 sec,40.1101499152149
0.636 sec,40.4583707446333
0.637 sec,42.5727770749322
0.638 sec,41.8829043205091
0.639 sec,40.1312075040562
0.64 sec,39.374557993954
0.641 sec,36.4931424962943
0.642 sec,35.1092682668262
0.643 sec,33.8060808290431
0.644 sec,41.6065277287832
0.645 sec,42.7614481292318
0.646 sec,40.0742907418873
0.647 sec,40.9080908644506
0.648 sec,39.1395397805323
0.649 sec,35.7442174910124
0.65 sec,34.0398447869925
0.651 sec,33.5840485731091
0.652 sec,32.0782410798139
0.653 sec,35.1408335338957
0.654 sec,35.862459201937
0.655 sec,42.0228511748696
0.656 sec,41.2184717876906
0.657 sec,41.3338548875655
0.658 sec,40.7079427491206
0.659 sec,43.4434797218579
0.66 sec,41.609809127482
0.661 sec,39.0080133208951
0.662 sec,38.3135111337273
0.663 sec,35.3641363972126
0.664 sec,33.5352290357746
0.665 sec,30.9222859812851
0.666 sec,26.6682153172535
0.667 sec,39.1457440853904
0.668 sec,39.7842029183732
0.669 sec,40.45418047117
0.67 sec,37.8408427682186
0.671 sec,33.6193026113705
0.672 sec,31.76475894897
0.673 sec,34.0003775976866
0.674 sec,36.645700868022
0.675 sec,38.9373589279359
0.676 sec,39.1449241751011
0.677 sec,39.0067338841841
0.678 sec,41.0442498932706
0.679 sec,41.9274830629069
0.68 sec,42.3903875705127
0.681 sec,39.9438136446577
0.682 sec,40.4060219670277
0.683 sec,37.5403612217511
0.684 sec,34.5397631937902
0.685 sec,32.9781749687543
0.686 sec,43.2011812589464
0.687 sec,41.2417238187102
0.688 sec,39.5247651111693
0.689 sec,39.8370525785098
0.69 sec,37.555923401226
0.691 sec,34.2714461811127
0.692 sec,34.6776402254985
0.693 sec,32.338695920896
0.694 sec,36.0154997805235
0.695 sec,37.3634729114401
0.696 sec,39.2941753895661
0.697 sec,39.0273126617056
0.698 sec,41.6239876645605
0.699 sec,40.8200916943543
0.7 sec,42.5799789462481
0.701 sec,39.4341153168052
0.702 sec,43.0132728375033
0.703 sec,40.8118926651403
0.704 sec,39.5879558977209
0.705 sec,35.1230009444142
0.706 sec,33.0441205864526
0.707 sec,42.3090960181651
0.708 sec,41.4914037525421
0.709 sec,40.1652712293698
0.71 sec,39.3515605701159
0.711 sec,39.2202038285295
0.712 sec,35.1208939100688
0.713 sec,31.178665428601
0.714 sec,33.6189442351275
0.715 sec,33.6723505943628
0.716 sec,34.7680776970601
0.717 sec,38.7997940040805
0.718 sec,41.4223307620884
0.719 sec,40.5486462261439
0.72 sec,40.9308440979281
0.721 sec,41.1619323578892
0.722 sec,41.0981928419133
0.723 sec,41.1810499829495
0.724 sec,39.7903179006063
0.725 sec,38.0699974853356
0.726 sec,34.6015026565056
0.727 sec,31.768374256572
0.728 sec,29.2612268032989
0.729 sec,41.8656783216859
0.73 sec,40.6656932628204
0.731 sec,37.9858389336457
0.732 sec,37.4273655441289
0.733 sec,36.3874441737785
0.734 sec,32.1207324675786
0.735 sec,33.4754801890848
0.736 sec,36.8634214196987
0.737 sec,36.2277735268045
0.738 sec,39.1103773290451
0.739 sec,40.1251559065987
0.74 sec,40.6126492413718
0.741 sec,40.3217387195396
0.742 sec,42.9042769121693
0.743 sec,39.4495155122415
0.744 sec,41.0977717473452
0.745 sec,39.3952208590977
0.746 sec,33.7011980216561
0.747 sec,35.725477791006
0.748 sec,39.1875298029886
0.749 sec,42.4000315658644
0.75 sec,41.4075285263611
0.751 sec,41.707022628572
0.752 sec,39.795828445163
0.753 sec,36.8450018407391
0.754 sec,35.7223429443587
0.755 sec,32.1122350522564
0.756 sec,32.1107854409521
