Time,Data
0.488 sec,35.6197672175547
0.489 sec,33.6017190555933
0.49 sec,38.0888115668881
0.491 sec,36.7698191528207
0.492 sec,36.0992415202962
0.493 sec,33.5206067912732
0.494 sec,34.7791810313322
0.495 sec,31.8124850828215
0.496 sec,28.3227344107862
0.497 sec,35.5568480418278
0.498 sec,33.9532059528085
0.499 sec,35.5191767220768
0.5 sec,34.8917098309089
0.501 sec,32.5556354506049
0.502 sec,31.0709509658444
0.503 sec,29.9451756204222
0.504 sec,32.9610477563023
0.505 sec,32.4367851166938
0.506 sec,36.4574688205343
0.507 sec,38.6964000260776
0.508 sec,38.9227322336643
0.509 sec,40.6803519275101
0.51 sec,38.9790986673032
0.511 sec,41.6150259020073
0.512 sec,41.592245550248
0.513 sec,40.466110021371
0.514 sec,38.7532102950106
0.515 sec,38.658935681046
0.516 sec,35.7764019262278
0.517 sec,31.8765797968256
0.518 sec,40.1688513903814
0.519 sec,42.8823801257383
0.52 sec,42.2554280409609
0.521 sec,38.5804908707894
0.522 sec,37.5490125570206
0.523 sec,36.7216623506813
0.524 sec,33.1999657517445
0.525 sec,32.0519210459495
0.526 sec,34.095162320094
0.527 sec,37.4658609847297
0.528 sec,36.8876768456039
0.529 sec,41.0997750159947
0.53 sec,39.779967646541
0.531 sec,40.9188762769508
0.532 sec,40.9466951142726
0.533 sec,39.5687236154079
0.534 sec,39.4420309584427
0.535 sec,39.3194840256947
0.536 sec,38.8159527439115
0.537 sec,33.8734678287999
0.538 sec,33.036779151994
0.539 sec,30.4754763953219
0.54 sec,35.7133382962353
0.541 sec,34.3981342507522
0.542 sec,33.5340370202202
0.543 sec,33.0061549450079
0.544 sec,29.7525007399486
0.545 sec,28.8633967989867
0.546 sec,24.8387176719885
0.547 sec,30.2522989324012
0.548 sec,30.1102783218439
0.549 sec,33.8919684480412
0.55 sec,33.2376023876165
0.551 sec,34.4814944662373
0.552 sec,35.3261759611647
0.553 sec,37.211418340173
0.554 sec,37.1896159993792
0.555 sec,36.2712738369484
0.556 sec,33.1981829048046
0.557 sec,31.0591172880059
0.558 sec,29.5840798972082
0.559 sec,26.3815151430885
0.56 sec,38.3402445303165
0.561 sec,35.8749999632398
0.562 sec,34.7536473241443
0.563 sec,33.9962719999887
0.564 sec,30.6613344960878
0.565 sec,28.5944065310259
0.566 sec,29.8997118709263
0.567 sec,33.361686807134
0.568 sec,35.1378889925928
0.569 sec,36.8853844924591
0.57 sec,37.0934567888454
0.571 sec,40.3332560322831
0.572 sec,42.8191182890907
0.573 sec,41.8105994564755
0.574 sec,42.1766670555699
0.575 sec,40.6437658822695
0.576 sec,41.7781285211523
0.577 sec,39.1884159918566
0.578 sec,36.1146872535785
0.579 sec,36.4099435481759
0.58 sec,33.8264741752048
0.581 sec,43.0346253847332
0.582 sec,41.9148528218516
0.583 sec,40.0611471025282
0.584 sec,40.7622030161351
0.585 sec,36.1223856290883
0.586 sec,36.284227221536
0.587 sec,33.7497491865326
0.588 sec,32.4213074808669
0.589 sec,34.9995300800457
0.59 sec,36.1234732147268
0.591 sec,37.0232052535603
0.592 sec,40.0479777064552
0.593 sec,42.9578132223079
0.594 sec,41.8139072896455
0.595 sec,42.000726381058
0.596 sec,41.2864632598187
0.597 sec,39.3023953414095
